timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-04-20,70.42,72.6,70.42,71.75,71.75,6263036,0,1
2018-04-19,70.62,71.19,69.13,70.23,70.23,6380051,0,1
2018-04-18,69.5,72.1,67.63,70.58,70.58,10265432,0,1
2018-04-17,67.74,68.24,66.75,67.34,67.34,4754097,0,1
2018-04-16,66.75,68.18,66.71,67.31,67.31,2831820,0,1
2018-04-13,66.72,67.32,66.13,66.54,66.54,2665909,0,1
2018-04-12,65.64,66.88,65.32,66.1,66.1,4800408,0,1
2018-04-11,67.02,67.87,64.795,64.87,64.87,5370056,0,1
2018-04-10,69.26,69.5,66.58,67.59,67.59,5354452,0,1
2018-04-09,69.28,69.73,68.28,68.52,68.52,5259420,0,1
2018-04-06,70.29,70.5548,68,68.63,68.63,3699753,0,1
2018-04-05,70.23,71.21,69.8648,70.69,70.69,3151076,0,1
2018-04-04,68.25,70.13,67.94,69.99,69.99,3147567,0,1
2018-04-03,67.16,69.61,67.07,69.19,69.19,4385304,0,1
2018-04-02,69.12,69.3,65.6,66.77,66.77,3988762,0,1
2018-03-29,68.07,70.04,68.07,69.47,69.47,3003776,0,1
2018-03-28,68.37,68.6898,67.23,67.91,67.91,3062406,0,1
2018-03-27,68.72,69.91,67.81,68.18,68.18,3298749,0,1
2018-03-26,68.39,68.68,67.32,68.48,68.48,2689717,0,1
2018-03-23,68.75,68.98,67.33,67.39,67.39,2620249,0,1
2018-03-22,69.46,70.4901,68.44,68.45,68.45,3362062,0,1
2018-03-21,69.12,70.635,68.81,69.94,69.94,2613553,0,1
2018-03-20,70.43,70.96,70.075,70.48,70.48,1987168,0,1
2018-03-19,71.03,71.1,69.51,70.13,70.13,2227626,0,1
2018-03-16,70.42,71.45,70.1,70.88,70.88,4562943,0,1
2018-03-15,70.98,71.42,69.93,70.14,70.14,3378284,0,1
2018-03-14,72.35,73.24,70.44,70.74,70.74,4072105,0,1
2018-03-13,72.87,73.41,72.47,72.6,72.6,4712265,0,1
2018-03-12,71.82,72.1,70.4,72,72,3698999,0,1
2018-03-09,70.5,71.6399,69.73,71.55,71.55,5548895,0,1
2018-03-08,68.32,70.55,68.05,69.87,69.87,6469683,0,1
2018-03-07,66.81,67.91,66.531,67.81,67.81,2734129,0,1
2018-03-06,67.21,67.81,66.29,67.52,67.52,2472019,0,1
2018-03-05,66.82,67.92,66.41,67.21,67.21,3036169,0,1
2018-03-02,66.87,67.69,65.67,67.51,67.51,3234637,0,1
2018-03-01,67.78,69.34,67.02,67.54,67.54,4109064,0,1
2018-02-28,68,68.61,67.33,67.79,67.79,3034341,0,1
2018-02-27,69,69.4,67.79,67.86,67.86,3382883,0,1
2018-02-26,68.26,69.48,68.25,69.26,69.26,4539137,0,1
2018-02-23,67.01,67.6801,66.74,67.57,67.57,2633742,0,1
2018-02-22,67.5,67.7272,66.45,66.7,66.7,2303776,0,1
2018-02-21,66.39,68.52,66.36,67,67,3259787,0,1
2018-02-20,66.1,66.72,65.78,66.59,66.59,3285509,0,1
2018-02-16,67.05,67.51,66.51,66.52,66.52,2596209,0,1
2018-02-15,66,66.755,65.64,66.74,66.74,3708847,0,1
2018-02-14,65.4,66.32,65.16,65.68,65.68,2736576,0,1
2018-02-13,63.83,65.75,63.66,65.7,65.7,3109389,0,1
2018-02-12,63.33,64.83,62.97,64.14,64.14,3272941,0,1
2018-02-09,64.24,64.52,60.44,62.98,62.98,6060906,0,1
2018-02-08,65.17,65.67,63.33,63.37,63.37,4578340,0,1
2018-02-07,63.84,66.5783,63.75,65.36,65.36,5685496,0,1
2018-02-06,62.16,64.22,61.96,63.95,63.95,4632305,0,1
2018-02-05,65,65.44,63.2811,63.4,63.4,5341358,0,1
2018-02-02,66.63,66.89,65.48,65.68,65.68,4178276,0,1
2018-02-01,67.22,67.95,66.23,67.15,67.15,5601474,0,1
2018-01-31,67.74,69.09,67.32,67.82,67.82,6193842,0,1
2018-01-30,66.26,67.52,65.78,67.01,67.01,7766562,0,1
